"locationName","address","city","phone","link","id"
"Texas-Plano-East","2704 Central Expy","Plano TX ","469-609-3000
","https://www.athome.com/store-detail/?StoreID=Texas-Plano-East",""
"Texas-Garland","3002 Firewheel Pkwy","Garland TX ","972-202-2989
","https://www.athome.com/store-detail/?StoreID=Texas-Garland",""
"Texas-Plano West","5540 State Highway 121","Plano TX ","469-388-6668
","https://www.athome.com",""
"Texas-Farmers Branch","13307 Midway Rd","Farmers Branch TX ","469-680-3600
","https://www.athome.com",""
"Texas-Lewisville","2512 S Stemmons Fwy","Lewisville TX ","972-316-0392
","https://www.athome.com/store-detail/?StoreID=Texas-Lewisville",""
"Texas-Mesquite","2727 Towne Centre Dr","Mesquite TX ","972-681-5006
","https://www.athome.com/store-detail/?StoreID=Texas-Mesquite",""
"Texas-Grand Prairie","2650 W Interstate 20","Grand Prairie TX ","972-522-0534
","https://www.athome.com",""
"Texas-N. Richland Hills","8651 Airport Fwy","North Richland Hills TX ","817-581-1616
","https://www.athome.com",""
"Texas-Alliance","2201 Porter Creek Dr","Fort Worth TX ","817-380-3411
","https://www.athome.com/store-detail/?StoreID=Texas-Alliance",""
"Texas-Mansfield","602 U.S. Hwy 287","Mansfield TX ","817-779-5787
","https://www.athome.com/store-detail/?StoreID=Texas-Mansfield",""
"Texas-Fort Worth","5608 SW Loop 820","Fort Worth TX ","817-763-5478
","https://www.athome.com",""
"Texas-Tyler","3900 Troup Hwy","Tyler TX ","903-508-6015
","https://www.athome.com/store-detail/?StoreID=Texas-Tyler",""
"Texas-Wichita Falls","3111 Midwestern Pkwy #200","Wichita Falls TX ","940-228-0011
","https://www.athome.com",""
"Oklahoma-Moore","621 SW 19th St","Moore OK ","405-759-8590
","https://www.athome.com/store-detail/?StoreID=Oklahoma-Moore",""
"Texas-College Station","2301 Earl Rudder Fwy","College Station TX ","979-329-7600
","https://www.athome.com",""
"Oklahoma-Oklahoma City","701 S MacArthur Blvd","Oklahoma City OK ","405-787-4875
","https://www.athome.com",""
"Louisiana-Shreveport","1376 East 70th St","Shreveport LA ","318-383-5553
","https://www.athome.com/store-detail/?StoreID=Louisiana-Shreveport",""
"Texas-Pflugerville","19000 Limestone Commercial Dr","Pflugerville TX ","512-989-8488
","https://www.athome.com/store-detail/?StoreID=Texas-Pflugerville",""
"Texas-Cedar Park","4801 183A Toll Rd","Cedar Park TX ","512-528-0391
","https://www.athome.com",""
"Texas-South Austin","5151 US Hwy 290","Austin TX ","512-892-3059
","https://www.athome.com",""
"Texas-The Woodlands","16778 Interstate 45 South","Conroe TX ","281-203-3305
","https://www.athome.com",""
"Oklahoma-Tulsa","11015 E 51st St","Tulsa OK ","918-660-0543
","https://www.athome.com/store-detail/?StoreID=Oklahoma-Tulsa",""
"Texas-Willowbrook","12605 N Gessner Dr","Houston TX ","281-469-0900
","https://www.athome.com/store-detail/?StoreID=Texas-Willowbrook",""
"Texas-Humble","9450 FM 1960 Bypass Rd West","Humble TX ","281-318-4253
","https://www.athome.com/store-detail/?StoreID=Texas-Humble",""
"Texas-Katy","19420 Katy Fwy.","Houston TX ","281-578-2334
","https://www.athome.com/store-detail/?StoreID=Texas-Katy",""
"Texas-Richmond","4833 Waterview Meadow Dr","Richmond TX ","281-202-0952
","https://www.athome.com/store-detail/?StoreID=Texas-Richmond",""
"Texas-New Braunfels","642 S Walnut Ave","New Braunfels TX ","830-214-2030
","https://www.athome.com",""
"Texas-Sugar Land","16960 Southwest Fwy","Sugar Land TX ","713-353-1644
","https://www.athome.com",""
"Texas-Pearland","3000 Kirby Dr","Pearland TX ","346-207-3077
","https://www.athome.com/store-detail/?StoreID=Texas-Pearland",""
"Texas-Live Oak","7613 N Loop 1604 E","Live Oak TX ","210-245-3602
","https://www.athome.com",""
"Texas-Webster","20780 Gulf Fwy","Webster TX ","281-332-6526
","https://www.athome.com/store-detail/?StoreID=Texas-Webster",""
"Texas-San Antonio","8421 US Hwy 281","San Antonio TX ","210-987-2833
","https://www.athome.com",""
"Arkansas-Rogers","3551 S 27th St","Rogers AR ","479-202-7422
","https://www.athome.com/store-detail/?StoreID=Arkansas-Rogers",""
"Texas-San Antonio NW","6840 NW Loop 410","San Antonio TX ","210-521-7737
","https://www.athome.com",""
"Arkansas-Little Rock","11801 Chenal Pkwy","Little Rock AR ","501-219-1144
","https://www.athome.com",""
"Texas-Lubbock","4304 W Loop 289","Lubbock TX ","806-401-0054
","https://www.athome.com/store-detail/?StoreID=Texas-Lubbock",""
"Kansas-Wichita","301 S Towne East Mall Dr","Wichita KS ","316-221-2808
","https://www.athome.com/store-detail/?StoreID=Kansas-Wichita",""
"Texas-Odessa","4101 E 42nd St","Odessa TX ","432-276-7676
","https://www.athome.com/store-detail/?StoreID=Texas-Odessa",""
"Louisiana-Lafayette","4210 Ambassador Caffery Pkwy","Lafayette LA ","337-706-9310
","https://www.athome.com/store-detail/?StoreID=Louisiana-Lafayette",""
"Missouri-Springfield","3700 S Campbell Ave","Springfield MO ","417-885-3822
","https://www.athome.com/store-detail/?StoreID=Missouri-Springfield",""
"Texas-Corpus Christi","4949 Greenwood Dr","Corpus Christi TX ","361-225-2775
","https://www.athome.com",""
"Mississippi-Jackson","6360 Ridgewood Court Dr","Jackson MS ","769-235-2877
","https://www.athome.com/store-detail/?StoreID=Mississippi-Jackson",""
"Tennessee-Memphis","5280 Summer Ave","Memphis TN ","901-767-7731
","https://www.athome.com/store-detail/?StoreID=Tennessee-Memphis",""
"Tennessee-Memphis South","7697 Winchester Rd","Memphis TN ","901-379-5720
","https://www.athome.com",""
"Kansas-Olathe","2000 E Santa Fe St","Olathe KS ","913-538-4000
","https://www.athome.com/store-detail/?StoreID=Kansas-Olathe",""
"Missouri-Lee's Summit","601 N State Highway 291","Lee's Summit MO ","816-944-2000
","https://www.athome.com",""
